M = N;                                                                                                                                                                                           Количество потоков;;;;;;;;;;;;;;;;;
;2;;;4;;7;;8;;16;;20;;40;;;;
;T1;T2;S2;T4;S4;T6;S6;T8;S8;T16;S16;T20;S20;T40;S40;;;
            20000     (~ 3 GB);3.115214;1.853595;1.680;1.129111; 2.76;0.642173;4.850;0.640290 ; 4.87;0.520507;5.980;0.471512;6.610;0.414871;7.510;;;
            40000     (~ 12 GB);12.422132;7.287565;1.700;3.946316;3.150;3.376844;3.680;2.966141;4.190; 2.005184;6.200;1.823504; 6.810; 1.635532;7.800;;;
;;;;;;;;;;;;;;;;;;
